PubChem CID	KEGG
689043	 C01197
6443013	 C14762
6443013	 C14762
6446027	 C14765
6446027	 C14765
11954058	 C14813
6439873	 C16326
6439873	 C16326
1004	C00009
1023	C00013
643975	C00016
1051	C00018
6083	C00020
1060	C00022
33032	C00025
51	C00026
970	C00036
750	C00037
1110	C00042
5962	C00047
5960	C00049
124886	C00051
6131	C00055
1118	C00059
6322	C00062
5961	C00064
5951	C00065
6137	C00073
6262	C00077
6305	C00078
6057	C00082
1176	C00086
5988	C00089
289	C00090
439162	C00093
5862	C00097
65533	C00103
1174	C00106
58	C00109
753	C00116
171548	C00120
444972	C00122
6106	C00123
6036	C00124
8582	C00130
1045	C00134
6274	C00135
49	C00141
6804	C00144
190	C00147
145742	C00148
222656	C00149
936	C00153
135	C00156
311	C00158
311	C00158
757	C00160
997	C00166
964	C00168
439176	C00170
1135	C00178
243	C00180
6287	C00183
107689	C00186
5997	C00187
6288	C00188
700	C00189
787	C00192
19	C00196
7027	C00198
439184	C00199
971	C00209
60961	C00212
1088	C00213
5789	C00214
444899	C00219
444899	C00219
72	C00230
1112	C00232
70	C00233
84571	C00243
1123	C00245
863	C00248
985	C00249
985	C00249
439193	C00252
938	C00253
439194	C00258
790	C00262
12647	C00263
439196	C00265
6128	C00280
6115	C00292
6021	C00294
967	C00295
6029	C00299
586	C00300
611	C00302
1198	C00311
1054	C00314
10917	C00318
10917	C00318
5280335	C00319
71	C00322
161166	C00328
187790	C00330
803	C00331
119	C00334
91493	C00345
1015	C00346
6047	C00355
9700	C00364
1175	C00366
827	C00379
597	C00380
867	C00383
1188	C00385
6802	C00387
6306	C00407
439227	C00408
5994	C00410
5994	C00410
444539	C00423
649	C00429
138	C00431
439232	C00437
160556	C00449
65091	C00458
5870	C00468
4650	C00472
19212	C00477
637775	C00482
5610	C00483
743	C00489
811	C00490
67678	C00491
8742	C00493
92824	C00497
203	C00499
72886	C00506
439246	C00509
5879	C00523
13712	C00526
785	C00530
6013	C00535
780	C00544
439260	C00547
244	C00556
10758	C00561
978	C00568
7965	C00571
6076	C00575
763	C00581
5280360	C00584
5280360	C00584
7420	C00587
1549095	C00590
91477	C00599
998	C00601
439276	C00623
70914	C00624
3469	C00628
86	C00632
126	C00633
127	C00642
166768	C00650
105021	C00665
122336	C00689
221493	C00695
448457	C00696
448457	C00696
445639	C00712
445639	C00712
617	C00716
10436	C00727
5754	C00735
5754	C00735
594	C00736
1103	C00750
638072	C00751
1183	C00755
10251	C00766
604	C00770
4788	C00774
1178	C00785
5816	C00788
588	C00791
338	C00805
1148	C00806
637542	C00811
5280373	C00814
2682	C00823
931	C00829
26447	C00843
6723	C00847
5280378	C00858
6613	C00864
980	C00870
100714	C00872
875	C00898
159664	C00902
24316	C00942
439352	C00950
5757	C00951
802	C00954
10685	C00955
903	C00978
428	C00986
529	C00988
10413	C00989
68841	C01005
68152	C01013
144	C01017
72924	C01020
439373	C01040
65065	C01042
439377	C01046
10434	C01066
76406	C01073
7427	C01083
1057	C01108
439406	C01118
445070	C01126
35717	C01132
5810	C01157
547	C01161
151491	C01162
979	C01179
873	C01198
5881	C01227
535	C01234
41211	C01367
444266	C01384
602	C01401
2244	C01405
8400	C01408
261	C01412
370	C01424
612	C01432
974	C01444
1101	C01452
342	C01467
2879	C01468
6293	C01474
1549111	C01481
445858	C01494
11349	C01495
638011	C01499
637566	C01500
460	C01502
6735	C01504
5281	C01530
5281	C01530
1153	C01536
335	C01542
454	C01545
6919	C01546
5283731	C01561
2969	C01571
464	C01586
5280450	C01595
5280450	C01595
5280451	C01596
896	C01598
8158	C01601
1017	C01606
26840	C01607
439533	C01617
24749	C01662
5280453	C01673
6058	C01678
444679	C01694
22819	C01710
637517	C01712
3845	C01717
246983	C01724
5326566	C01727
638129	C01732
876	C01733
68368	C01736
439559	C01742
10394	C01744
5054	C01751
5280460	C01752
222284	C01753
637540	C01772
2082	C01779
5839	C01780
5839	C01780
439579	C01817
65098	C01826
4114	C01864
7405	C01879
21236	C01933
8955	C01953
6255	C01971
439616	C01984
5801	C01987
92904	C02043
994	C02057
18407	C02129
11915	C02137
5753	C02140
5753	C02140
5280492	C02165
487	C02170
11321	C02172
359	C02183
8419	C02201
221071	C02206
5280498	C02214
643798	C02226
3505109	C02235
439694	C02273
660	C02274
8193	C02277
45	C02287
7515	C02299
5280507	C02325
444212	C02341
150923	C02366
403	C02372
369312	C02452
14985	C02477
8066	C02497
7017	C02499
8871	C02502
7680	C02505
439742	C02512
7478	C02519
254	C02526
69217	C02565
439762	C02591
439766	C02612
111	C02642
385	C02656
18170	C02660
5280536	C02666
3893	C02679
3893	C02679
397	C02693
70912	C02710
92832	C02727
12793	C02734
1000	C02735
74300	C02774
5897	C02778
6724	C02807
10787	C02814
7533	C02824
340	C02923
105085	C02932
351795	C02938
18189	C02946
11082	C02954
2526	C02979
8512	C02980
158980	C02989
123804	C02993
67069	C03005
90301	C03030
8406	C03057
101	C03067
5280567	C03081
